salad_title,prep_time,n_star,n_review,Calories,Total Fat,Saturated Fat,Carbohydrates,Dietary Fiber,Sugar,Protein,Cholesterol,Sodium
Antipasto Salad,35 minutes,5 of 5 stars,190 Reviews,['647 '],['37 g'],['8 g'],['58 g'],['3 g'],['2 g'],['20 g'],['34 mg'],['433 mg']
Shrimp Salad,30 minutes,5 of 5 stars,175 Reviews,['407 '],['31 g'],['5 g'],['2 g'],['1 g'],['1 g'],['31 g'],['258 mg'],['536 mg']
Chicken Salad,30 minutes,4.5 of 5 stars,277 Reviews,['1134 '],['80 g'],['17 g'],['19 g'],['2 g'],['7 g'],['80 g'],['250 mg'],['1870 mg']
Broccoli Salad,1 hour 15 minutes,5 of 5 stars,170 Reviews,['316 '],['27 g'],['6 g'],['16 g'],['0 g'],['12 g'],['4 g'],['24 mg'],['292 mg']
Cafe Green Salad,10 minutes,5 of 5 stars,297 Reviews,['10 grams '],['1.5 grams '],['0 milligrams '],['156 milligrams '],['2 grams '],['1 grams '],['1 grams '],['1 grams '],['103 calorie ']
Black Bean Salad,1 hour 10 minutes,5 of 5 stars,295 Reviews,['176 '],['1 g'],['0 g'],['36 g'],['10 g'],['10 g'],['8 g'],['0 mg'],['508 mg']
Curried Chicken Salad,1 hour,5 of 5 stars,287 Reviews,['804 '],['63 g'],['10 g'],['24 g'],['3 g'],['14 g'],['36 g'],['122 mg'],['658 mg']
Roasted Shrimp Salad,38 minutes,5 of 5 stars,222 Reviews,['455 '],['33 g'],['5 g'],['2 g'],['0 g'],['1 g'],['38 g'],['319 mg'],['571 mg']
Tuscan Salad,15 minutes,5 of 5 stars,89 Reviews,['19 grams '],['3 grams '],['6 milligrams '],['693 milligrams '],['26 grams '],['9 grams '],['11 grams '],['5 grams '],['305 calorie ']
Strawberry Salad,25 minutes,5 of 5 stars,93 Reviews,['653 '],['48 g'],['12 g'],['45 g'],['5 g'],['30 g'],['14 g'],['37 mg'],['734 mg']
Lentil Quinoa Salad,45 minutes,5 of 5 stars,189 Reviews,['299 '],['16 g'],['1 g'],['32 g'],['5 g'],['1 g'],['9 g'],['0 mg'],['664 mg']
Grandma Jean's Potato Salad,3 hours 5 minutes,5 of 5 stars,242 Reviews,['366 '],['13 g'],['3 g'],['55 g'],['6 g'],['9 g'],['9 g'],['75 mg'],['905 mg']
Crunchy Noodle Salad,35 minutes,4.5 of 5 stars,458 Reviews,['752 '],['58 g'],['6 g'],['47 g'],['6 g'],['11 g'],['14 g'],['0 mg'],['792 mg']
Chicken Salad Veronique,50 minutes,5 of 5 stars,203 Reviews,['604 '],['34 g'],['6 g'],['9 g'],['1 g'],['6 g'],['62 g'],['210 mg'],['850 mg']
Chickpea Salad,15 minutes,5 of 5 stars,80 Reviews,['270 '],['11 g'],['1 g'],['35 g'],['10 g'],['7 g'],['10 g'],['0 mg'],['432 mg']
Greek Salad,12 minutes,5 of 5 stars,70 Reviews,['363 '],['30 g'],['11 g'],['17 g'],['5 g'],['9 g'],['11 g'],['50 mg'],['802 mg']
French Potato Salad,50 minutes,5 of 5 stars,180 Reviews,['326 '],['23 g'],['3 g'],['27 g'],['3 g'],['1 g'],['3 g'],['0 mg'],['461 mg']
Chicken Salad,1 hour 25 minutes,5 of 5 stars,88 Reviews,['268 '],['23 g'],['3 g'],['5 g'],['1 g'],['3 g'],['11 g'],['37 mg'],['211 mg']
Steak Salad,15 minutes,5 of 5 stars,87 Reviews,['896 '],['81 g'],['20 g'],['13 g'],['4 g'],['6 g'],['31 g'],['92 mg'],['978 mg']
Caprese Salad,10 minutes,5 of 5 stars,70 Reviews,['255 '],['19 g'],['11 g'],['5 g'],['1 g'],['2 g'],['17 g'],['60 mg'],['371 mg']
Cucumber Salad,30 minutes,4.5 of 5 stars,153 Reviews,['437 milligrams '],['8 grams '],['3 grams '],['3 grams '],['38 calorie '],['437 milligrams '],['8 grams '],['3 grams '],['3 grams ']
New Potato Salad,4 hours,5 of 5 stars,133 Reviews,,,,,,,,,
Asian Noodle Salad,30 minutes,5 of 5 stars,159 Reviews,['744 '],['48 g'],['6 g'],['64 g'],['11 g'],['18 g'],['24 g'],['0 mg'],['952 mg']
Broccoli Salad,15 minutes,5 of 5 stars,73 Reviews,['277 '],['22 g'],['7 g'],['12 g'],['4 g'],['3 g'],['10 g'],['34 mg'],['494 mg']
Fall Salad,21 minutes,5 of 5 stars,79 Reviews,['383 '],['31 g'],['8 g'],['24 g'],['5 g'],['15 g'],['6 g'],['22 mg'],['452 mg']
